Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Bewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
1;5;de;1238332965;25;männlich;5-10 Minuten;Ja, einmal;5;5;5;5;5;Ja;Ja;4;4;3;4;5;4;5;5;5;;;Ja;456.93;376.4;;;;;;Jul 78;;27.35;;;;;13.97;;31.43;;;;
2;5;de;476953796;62;männlich;2-5 Minuten;Nein;4;5;5;3;4;Ja;Ja;4;5;5;5;5;5;5;5;5;Was so alles mit KI funktioniert, echt toll;nichts ;Ja;750.36;611.59;;;;;;28.94;;50.12;;;;;14.97;;44.74;;;;
3;5;de;652159160;33;männlich;2-5 Minuten;Ja, mehrfach;5;5;5;5;5;Nein;Ja;5;5;5;5;5;5;5;5;5;die interaktivität;nichts;Ja;155.24;32.43;;;;;;21.48;;59.03;;;;;11. Jul;;30. Jun;;;;
4;5;de;676416710;23;männlich;2-5 Minuten;Ja, mehrfach;5;5;5;4;3;Ja;Ja;4;2;4;2;2;4;5;4;5;Interaktion;Anweisungrn;Ja;232.92;33.73;;;;;;26. Apr;;76.17;;;;;Okt 45;;86.53;;;;
5;5;de;1923287683;30;männlich;5-10 Minuten;Ja, einmal;4;5;4;4;5;Ich bin mir unsicher;Ja;5;5;4;5;4;5;4;5;5;Interaktion mit den Blumen ;Nichts;Ja;110.13;23.51;;;;;;13. Aug;;38.39;;;;;Jul 96;;26.47;;;;
6;5;de;1438444417;62;weiblich;5-10 Minuten;Nein;4;4;4;2;4;Ja;Nein;4;4;4;3;2;4;4;4;5;Wechselnde Darstellung ;Nichts;Ja;200.36;36.01;;;;;;48.51;;56.24;;;;;18.82;;40.78;;;;
7;5;de;1966010210;61;männlich;2-5 Minuten;Nein;3;5;5;2;3;Ja;Ja;5;5;4;4;4;5;4;4;5;Lebendig Stilleben;Lichtführung;Ja;235.14;47.53;;;;;;43.77;;63.28;;;;;22.91;;57.65;;;;
8;5;de;1005196855;14;weiblich;weniger als 2 Minuten;Ja, einmal;2;3;3;2;2;Ja;Ja;4;3;3;2;3;4;4;4;4;interaktivität, farbengebung;;Ja;1215.21;1023.26;;;;;;28.74;;64.15;;;;;24.39;;74.67;;;;
9;5;de;755297265;59;weiblich;weniger als 2 Minuten;Nein;3;1;1;1;1;Nein;Nein;1;1;1;1;1;;;;1;Nichts ;Beschreibung/Erklärung + kleiner raum;Ja;294.25;73.55;;;;;;36.09;;46.03;;;;;;;138.58;;;;
10;5;de;1378719109;56;weiblich;5-10 Minuten;Nein;5;5;5;4;4;Ja;Ja;5;5;5;5;4;5;5;5;5;Bequemlichkeit;Lauter für mehr realistischer zu werden / für die Natur;Ja;519.18;86.49;;;;;;102.76;;117.8;;;;;38.12;;174.01;;;;
