Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Handbewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
1;5;de;741096824;28;männlich;5-10 Minuten;Ja, mehrfach;4;5;5;4;4;Ja;Ja;5;5;5;5;5;5;5;5;5; ; ;Ja;64.24;20.81;;;;;;13.24;;15.84;;;;;Jun 17;;Aug 18;;;;
2;5;de;1961816463;61;weiblich;2-5 Minuten;Ja, mehrfach;3;3;2;4;3;Ja;Ja;5;4;4;4;3;5;5;5;5;Kombi- Raum/Licht-geräu;Alles gut;Ja;212.87;33.07;;;;;;32.21;;45.95;;;;;14.24;;87.4;;;;
3;5;de;1265896231;63;weiblich;Länger als 10 Minuten;Ja, mehrfach;1;5;5;5;5;Ja;Ja;5;5;5;5;5;5;5;5;5;Die Interaktion und eIne neue Wahrnehmung der Dinge;ch;Ja;285.96;30.42;;;;;;26;;37.01;;;;;Nov 77;;180.76;;;;
4;5;de;840209447;44;weiblich;5-10 Minuten;Ja, mehrfach;1;4;4;4;4;Ja;Ja;4;4;4;4;4;5;5;5;5;Auswahl der Bilder im der zweiten Installation, sehr filigran und dass sie mit Musik unterlegt war;nichts;Ja;266.63;46.05;;;;;;35.7;;54.38;;;;;22. Sep;;108.41;;;;
5;5;de;889877015;70;weiblich;weniger als 2 Minuten;Nein;2;1;1;1;5;Nein;Ja;1;1;1;1;1;3;3;3;1; ;Zu eng(kleiner Raum);Nein;251.67;47.61;;;;;;51.95;;68.35;;;;;25. Mär;;58.46;;;;
6;5;de;608237995;71;männlich;2-5 Minuten;Nein;4;3;3;3;4;Ich bin mir unsicher;Ich bin mir unsicher;4;4;4;4;4;;;;5;The constant  change.;Wasn't clear where to make movements;Ja;326.39;64.92;;;;;;50.62;;83.52;;;;;;;127.33;;;;
7;5;de;665218657;50;männlich;2-5 Minuten;Ja, einmal;3;5;4;4;4;Ja;Ja;5;5;5;5;5;5;5;5;5;Blumen;Etwas langsamer;Ja;124.35;50.64;;;;;;20.83;;19. Dez;;;;;Jul 38;;26.38;;;;
8;5;de;1120963421;22;weiblich;5-10 Minuten;Ja, mehrfach;4;4;3;4;4;Ja;Ich bin mir unsicher;4;5;4;3;3;5;5;5;4;Farben;mehr platz dazwischen;Ja;170.8;57.17;;;;;;25.22;;42.27;;;;;16.81;;29.33;;;;
9;5;de;677594590;25;weiblich;2-5 Minuten;Nein;5;4;5;2;3;Nein;Nein;5;3;4;2;3;;;;4;Die Interaktion durch bloßes Handbewegen. Hatte ich so noch nie gesehen und erlebt;Kurze Beschreibung/Anweisung vorher. Ich hatte beim ersten Hineingehen nicht bemerkt, dass ich mir der Projektion interagieren konnte;Ja;337.56;50.92;;;;;;51.64;;90.41;;;;;;;144.59;;;;
10;5;de;299569622;70;weiblich;5-10 Minuten;Nein;1;3;4;1;5;Ja;Ja;3;5;5;1;5;2;3;3;5;KI; ;Ja;178.58;28.23;;;;;;36.28;;60.22;;;;;27.63;;26.22;;;;
