"Zeitstempel","Ich habe die Datenschutzerklärung gelesen und stimme zu.","Wie alt sind Sie? (Angabe in Jahren)","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie lange haben Sie sich in der Installation aufgehalten haben?","Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?","Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien","Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war.","Es schien, als ob ich tatsächlich an der Darstellung beteiligt war.","Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben.","Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.","Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann.","Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte.","Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.","Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.","Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.","Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?","Haben Sie bemerkt, dass Sie die Grashalmprojektion interaktiv beeinflussen können?","Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.","Die Steuerung des Systems war intuitiv und leicht verständlich.","Ich konnte meine beabsichtigten Aktionen problemlos ausführen.","Wie zufrieden waren Sie insgesamt mit der Rauminstallation?","Was hat Ihnen an der Installation am meisten gefallen?","Was hätte verbessert werden können?","Würden Sie diese Installation weiterempfehlen?"
"2025/02/09 12:57:06 PM OEZ","Ja","27","Männlich","2-5 Minuten","Nein","2","4","3","2","3","4","4","3","4","3","Ja","Ja","2","4","4","4","Blumenvisuals","Interaktion","Ja"
"2025/02/09 1:22:59 PM OEZ","Ja","65","Weiblich","2-5 Minuten","Ja, mehrfach","5","3","1","1","1","5","5","2","5","5","Ja","Nein","","","","5","Blumen","VR","Ja"
"2025/02/09 1:23:05 PM OEZ","Ja","65","Männlich","2-5 Minuten","Ja, mehrfach","5","4","3","4","3","4","3","4","4","4","Ich bin mir unsicher","Nein","","","","5","Bild/Geräusch","","Ja"
"2025/02/09 1:29:42 PM OEZ","Ja","25","Weiblich;Keine Angabe","weniger als 2 Minuten","Nein","5","5","3","3","3","5","3","4","5","3","Nein","Ja","4","3","3","4","Die Installation schafft es, einen durch den Sound und die tollen Bilder einen in die Natur zu transportieren. Das vermittelt einem ein Gefühl von Ruhe und Ausgeglichenheit. Das finde ich an eurer Installation besonders schön. Außerdem ist es toll, interaktiv sein zu können. Mitmachen macht immer mehr Spaß als nur zu betrachten.","Ich fände es zum besseren Verständnis von dem, was ihr tolles geleistet habt gut, wenn noch mehr Details und Hintergründe erklärt werden würden. Also wie man zb die Bewegung des Grases beeinflussen kann. Ansonsten glaube ich habt ihr da die besseren Ideen was man noch verbessern kann. ","Ja"
"2025/02/09 1:33:07 PM OEZ","Ja","40","Weiblich","weniger als 2 Minuten","Ja, mehrfach","5","4","3","3","4","3","4","5","2","2","Ja","Ja","2","4","4","4","Sound ","Reaktionen","Ja"
"2025/02/09 1:33:41 PM OEZ","Ja","59","Weiblich","2-5 Minuten","Ja, mehrfach","3","5","4","2","4","3","3","3","4","2","Ja","Ja","5","1","1","4","Blumen Steigerung","Grashalme","Ja"
"2025/02/09 1:35:16 PM OEZ","Ja","66","Weiblich","weniger als 2 Minuten","Ja, mehrfach","2","4","1","1","3","3","1","3","3","1","Ja","Nein","","","","4","Idee ","Anleitung ","Ja"
"2025/02/09 1:38:20 PM OEZ","Ja","52","Männlich","2-5 Minuten","Ja, einmal","4","3","3","2","1","3","4","2","4","4","Ja","Ja","2","3","2","3","Überrascht ","Klarere Response","Ich bin mir unsicher"
"2025/02/09 1:39:46 PM OEZ","Ja","68","Männlich","2-5 Minuten","Ja, mehrfach","4","4","3","2","3","4","4","3","4","3","Ja","Nein","","","","3","Blumen","Oberlicht","Ja"
"2025/02/09 1:43:25 PM OEZ","Ja","38","Weiblich","weniger als 2 Minuten","Ja, einmal","2","3","2","2","2","3","3","2","3","2","Ja","Nein","","","","3","Sound und visuals","Das bezieht sich auf den 2.raum: Einzelne eintreten lassen oder zu zweit. Angenehmeren Duft oder Vorhänge austauschen. Sitzmöglichkeit","Ja"
